"user_id","friend_user_id"
"us29094","us26905"
"us29125","us29639"
"us29416","us28438"
"us30952","us30914"
"us30867","us17747"
"us31684","us29955"
"us31690","us160"
"us31690","us17806"
"us31690","us13682"
"us31690","us1167"
"us31690","us5"
"us31690","us110"
"us31788","us31862"
"us31788","us17747"
"us31788","us31949"
"us31690","us9602"
"us21301","us32673"
"us21301","us32626"
"us21301","us32755"
"us21301","us28853"
"us21301","us31531"
"us31690","us23252"
"us31690","us25914"
"us31941","us32791"
"us31690","us666"
"us32317","us33971"
"us30867","us25914"
"us30867","us31531"
"us21301","us35227"
"us31690","us2062"
"us31528","us35870"
"us31528","us24773"
"us31760","us31862"
"us32317","us32349"
"us32317","us37228"
"us32317","us37220"
"us32317","us20159"
"us31941","us25914"
"us30867","us37614"
"us33545","us1554"
"us34712","us34653"
"us35130","us34653"
"us35698","us33644"
"us34180","us34984"
"us36337","us32857"
"us36337","us32857"
"us36337","us36361"
"us36434","us36438"
"us36099","us32757"
"us36099","us34653"
"us8100","us29655"
"us8100","us1554"
"us21301","us13682"
"us21301","us39261"
"us21301","us39508"
"us21301","us17806"
"us21301","us40371"
"us21301","us25846"
"us21301","us9602"
"us21301","us39775"
"us30867","us39189"
"us31817","us35923"
"us21301","us1554"
"us21301","us42825"
"us27537","us40351"
"us28758","us34492"
"us32317","us13682"
"us36295","us34653"
"us36295","us32349"
"us38256","us17806"
"us38256","us28266"
"us38256","us12126"
"us39322","us35923"
"us39322","us39261"
"us40545","us39512"
"us38256","us32349"
"us41087","us41052"
"us41087","us39512"
"us37786","us17806"
"us40542","us42068"
"us39322","us8134"
"us40704","us40610"
"us41989","us32498"
"us39322","us13682"
"us39322","us25846"
"us38256","us37228"
"us40296","us44154"
"us40296","us44211"
"us40296","us25846"
"us21301","us44703"
"us29125","us42809"
"us30867","us24994"
"us40296","us32498"
"us40296","us42661"
"us38256","us660"
"us39013","us8134"
"us38311","us47096"
"us39013","us41718"
"us38311","us47466"
"us43787","us23252"
"us43787","us47077"
"us41248","us25914"
"us40296","us32561"
"us738","us38246"
"us45601","us25846"
"us46418","us45002"
"us46216","us46221"
"us46216","us38962"
"us46216","us46218"
"us47077","us43787"
"us47475","us26780"
"us46216","us47656"
"us47656","us46216"
"us47077","us47172"
"us47936","us47656"
"us47656","us47936"
"us47936","us48513"
"us48475","us47845"
"us48679","us48659"
"us48475","us48765"
"us48475","us47299"
"us48942","us48909"
"us49783","us38246"
"us49829","us48344"
"us49829","us49950"
"us49829","us48909"
"us46470","us3564"
"us47077","us48475"
"us49984","us45183"
"us48475","us47077"
"us49829","us32498"
"us50416","us48909"
"us51299","us25846"
"us738","us1167"
"us738","us2062"
"us738","us231"
"us1167","us35953"
"us1167","us32498"
"us1167","us32215"
"us1167","us63906"
"us30867","us51707"
"us21301","us51903"
"us35408","us51599"
"us34750","us41889"
"us34750","us28266"
"us38256","us48119"
"us33456","us48344"
"us21301","us34492"
"us27537","us32319"
"us27537","us43946"
"us30867","us29888"
"us30867","us58311"
"us21301","us47774"
"us31941","us55595"
"us35408","us43399"
"us35408","us58311"
"us34750","us56362"
"us34750","us45183"
"us34257","us47774"
"us39465","us47774"
"us39299","us39322"
"us39322","us39299"
"us39299","us38962"
"us48119","us38256"
"us46216","us17806"
"us51412","us51605"
"us51778","us8134"
"us52949","us3213"
"us54656","us40349"
"us54656","us48344"
"us48475","us50000"
"us51863","us2984"
"us52949","us54716"
"us55534","us51903"
"us54656","us55627"
"us56525","us56179"
"us57680","us57348"
"us57680","us38246"
"us57680","us57743"
"us58066","us58072"
"us49829","us53281"
"us51510","us60032"
"us59186","us58311"
"us59238","us59303"
"us58811","us13682"
"us58811","us32498"
"us36126","us60755"
"us33644","us44854"
"us33644","us58311"
"us41052","us64524"
"us38962","us58311"
"us45183","us38256"
"us43399","us67237"
"us45183","us58311"
"us45183","us34257"
"us43399","us44854"
"us36126","us44854"
"us36126","us70585"
"us45183","us71091"
"us45183","us71315"
"us25914","us47774"
"us36126","us2137"
"us36126","us72848"
"us38962","us44854"
"us45183","us71983"
"us45183","us71678"
"us45183","us72552"
"us45183","us20648"
"us36126","us58311"
"us33644","us48659"
"us33644","us73246"
"us33644","us71315"
"us41052","us43911"
"us45183","us81963"
"us45183","us72563"
"us50668","us58311"
"us53281","us54455"
"us53281","us68859"
"us53281","us68857"
"us53281","us68822"
"us53281","us70585"
"us53281","us40610"
"us48299","us52520"
"us55762","us70315"
"us66500","us58311"
"us67127","us40610"
"us67379","us58311"
"us67379","us43911"
"us67379","us67398"
"us67634","us67237"
"us69022","us67237"
"us69454","us58311"
"us69624","us56965"
"us70340","us58311"
"us68283","us58311"
"us71315","us58311"
"us71315","us44854"
"us71315","us45183"
"us71315","us39512"
"us71315","us48659"
"us71315","us70585"
"us71983","us70585"
"us71315","us69699"
"us71315","us17806"
"us53281","us72972"
"us53281","us75720"
"us53281","us2137"
"us53281","us69592"
"us53281","us81963"
"us53281","us72105"
"us53281","us231"
"us53281","us80232"
"us53281","us74334"
"us53281","us25846"
"us53271","us76299"
"us71983","us72360"
"us71983","us45183"
"us71983","us72585"
"us71315","us71330"
"us71315","us32498"
"us71315","us25846"
"us71315","us72832"
"us71983","us70368"
"us71315","us60072"
"us72552","us72360"
"us72552","us45183"
"us72945","us58311"
"us73216","us58311"
"us73126","us73216"
"us73216","us73126"
"us73126","us58311"
"us73216","us70734"
"us73216","us58723"
"us74904","us70734"
"us73153","us76099"
"us79021","us51903"
"us67379","us82656"
"us71983","us2137"
"us71983","us81963"
"us71315","us2137"
"us71983","us82597"
"us71983","us72563"
"us71315","us33644"
"us71315","us43911"
"us81939","us69592"
"us81939","us81963"
"us82203","us81245"
"us82203","us58311"
"us82203","us72563"
"us82203","us82193"
"us82203","us77729"
"us82507","us81245"
"us81939","us81804"
"us82656","us67379"
"us81939","us82970"
