user_id,degs,deg_adj,ego,CC,CC_adj,ego_out,ego_adj
us669541,4,102.25,3,0.5,0.0866613053604,403,354
us256989,4,29.75,0,0.0,0.0882139148494,119,114
us433154,20,8.65,43,0.226315789474,0.363734109066,87,47
us654194,1,19.0,0,0.0,0.181286549708,19,19
us752287,3,38.3333333333,0,0.0,0.0709806988623,115,104
us452198,3,10.0,3,1.0,0.450937950938,24,13
us496322,3,15.6666666667,3,1.0,0.687398373984,41,39
us130,1,113.0,0,0.0,0.0804361567636,113,113
us312645,1,1.0,0,0.0,0.0,1,1
us448967,1,84.0,0,0.0,0.116465863454,84,84
us755954,3,283.333333333,2,0.666666666667,0.0744350240842,846,739
us763267,5,137.2,1,0.1,0.0599209479826,684,676
us399361,7,99.5714285714,5,0.238095238095,0.116196944866,687,572
us275300,3,82.6666666667,0,0.0,0.0560088514887,248,239
us425611,1,37.0,0,0.0,0.13963963964,37,37
us167783,1,1.0,0,0.0,0.0,1,1
us169904,1,99.0,0,0.0,0.0750360750361,99,99
us189311,1,1.0,0,0.0,0.0,1,1
us476388,1,1.0,0,0.0,0.0,1,1
us177174,1,1.0,0,0.0,0.0,1,1
us411943,1,39.0,0,0.0,0.0688259109312,39,39
us177616,1,1.0,0,0.0,0.0,1,1
us401789,24,103.041666667,42,0.152173913043,0.128037442607,2389,1573
us687160,2,4.0,0,0.0,0.0,8,6
us181044,1,4.0,0,0.0,0.166666666667,4,4
us299585,1,4.0,0,0.0,0.166666666667,4,4
us201774,1,1.0,0,0.0,0.0,1,1
us360464,3,52.6666666667,1,0.333333333333,0.102791567077,156,153
us229390,1,2.0,0,0.0,0.0,2,2
us302141,2,4.0,0,0.0,0.0,8,6
us765851,1,128.0,0,0.0,0.0847687007874,128,128
us300322,2,17.5,0,0.0,0.118437118437,35,34
us343313,30,76.1,60,0.137931034483,0.153595686544,2163,1475
us160155,1,7.0,0,0.0,0.0952380952381,7,7
us427065,1,99.0,0,0.0,0.0750360750361,99,99
us39071,4,2.0,0,0.0,0.025,8,5
us250719,1,998.0,0,0.0,0.0126089691921,998,998
us212012,2,71.0,0,0.0,0.0603259485612,142,140
us679259,1,19.0,0,0.0,0.146198830409,19,19
us200213,1,215.0,0,0.0,0.0271245381439,215,215
us323490,1,1.0,0,0.0,0.0,1,1
us112,1,35.0,0,0.0,0.211764705882,35,35
us599328,32,68.71875,31,0.0625,0.0834233366529,2137,1610
us209486,1,1.0,0,0.0,0.0,1,1
us104290,1,90.0,0,0.0,0.0374531835206,90,90
us31949,1,3.0,0,0.0,0.0,3,3
us569826,1,186.0,0,0.0,0.0288869514676,186,186
us56216,1,1.0,0,0.0,0.0,1,1
us94732,4,68.5,2,0.333333333333,0.0762758280686,270,242
us663541,1,56.0,0,0.0,0.162337662338,56,56
us560919,1,10.0,0,0.0,0.133333333333,10,10
us580774,79,17.1772151899,26,0.0084388185654,0.0534683756841,1305,832
us220663,2,1.5,0,0.0,0.0,3,2
us624257,15,65.2666666667,8,0.0761904761905,0.0580293833465,963,768
us87547,2,65.0,1,1.0,0.126690206875,128,116
us200796,9,85.4444444444,3,0.0833333333333,0.118139144603,763,620
us236228,2,20.0,0,0.0,0.0512820512821,40,39
us165807,1,6.0,0,0.0,0.266666666667,6,6
us418916,1,253.0,0,0.0,0.0336282075413,253,253
us349601,11,66.4545454545,3,0.0545454545455,0.0717774342526,725,584
us649636,1,375.0,0,0.0,0.0323707664884,375,375
us376794,1,157.0,0,0.0,0.0309488812674,157,157
us276097,1,10.0,0,0.0,0.0,10,10
us95316,3,156.666666667,1,0.333333333333,0.0317610762044,468,428
us222698,5,5.4,4,0.4,0.388644688645,19,13
us305292,2,4.0,0,0.0,0.142857142857,8,7
us411712,1,30.0,0,0.0,0.131034482759,30,30
us286527,5,58.4,2,0.2,0.0729853159545,288,249
us777104,1,15.0,0,0.0,0.171428571429,15,15
us320120,1,5.0,0,0.0,0.1,5,5
us431278,1,2.0,0,0.0,0.0,2,2
us390565,1,148.0,0,0.0,0.0583747012318,148,148
us733844,6,12.3333333333,0,0.0,0.12636167373,74,63
us208690,1,1.0,0,0.0,0.0,1,1
us203303,3,2.66666666667,0,0.0,0.0,8,6
us753177,2,41.5,0,0.0,0.0341764528756,83,82
us362283,2,503.0,0,0.0,0.16701877031,1006,999
us278182,1,83.0,0,0.0,0.0772847487511,83,83
